customer_id,first_name,last_name,state,email,created_at
CUST_0030,Person_29,Lname_29,NY,user_29@example.com,2023-10-29
CUST_0031,Person_30,Lname_30,NY,user_30@example.com,2023-05-23
CUST_0032,Person_31,Lname_31,TX,user_31@example.com,2023-01-04
CUST_0033,Person_32,Lname_32,FL,user_32@example.com,2023-03-23
CUST_0034,Person_33,Lname_33,FL,user_33@example.com,2023-12-24
CUST_0035,Person_34,Lname_34,,user_34@example.com,2023-08-05
CUST_0036,Person_35,Lname_35,,user_35@example.com,2023-06-24
CUST_0037,Person_36,Lname_36,,user_36@example.com,2023-05-23
CUST_0038,Person_37,Lname_37,NY,user_37@example.com,2023-03-21
CUST_0039,Person_38,Lname_38,FL,user_38@example.com,2023-04-21
CUST_0040,Person_39,Lname_39,FL,user_39@example.com,2023-06-22
CUST_0041,Person_40,Lname_40,CA,user_40@example.com,2023-02-22
CUST_0042,Person_41,Lname_41,NY,user_41@example.com,2023-02-17
CUST_0043,Person_42,Lname_42,WA,user_42@example.com,2023-07-14
CUST_0044,Person_43,Lname_43,NY,user_43@example.com,2023-02-19
CUST_0045,Person_44,Lname_44,WA,user_44@example.com,2023-07-03
CUST_0046,Person_45,Lname_45,CA,user_45@example.com,2023-06-26
CUST_0047,Person_46,Lname_46,TX,user_46@example.com,2023-11-06
CUST_0048,Person_47,Lname_47,FL,user_47@example.com,2023-05-16
CUST_0049,Person_48,Lname_48,CA,user_48@example.com,2023-01-23
CUST_0050,Person_49,Lname_49,FL,user_49@example.com,2023-08-24
CUST_0051,Person_50,Lname_50,,user_50@example.com,2023-10-02
CUST_0052,Person_51,Lname_51,TX,user_51@example.com,2023-03-05
CUST_0053,Person_52,Lname_52,TX,user_52@example.com,2023-07-13
CUST_0054,Person_53,Lname_53,CA,user_53@example.com,2023-02-10
CUST_0055,Person_54,Lname_54,TX,user_54@example.com,2023-10-10
CUST_0056,Person_55,Lname_55,WA,user_55@example.com,2023-05-31
CUST_0057,Person_56,Lname_56,TX,user_56@example.com,2023-11-18
CUST_0058,Person_57,Lname_57,FL,user_57@example.com,2023-11-13
CUST_0059,Person_58,Lname_58,FL,user_58@example.com,2023-07-05
CUST_0060,Person_59,Lname_59,FL,user_59@example.com,2023-10-23
CUST_0061,Person_60,Lname_60,FL,user_60@example.com,2023-04-09
CUST_0062,Person_61,Lname_61,WA,user_61@example.com,2023-12-27
CUST_0063,Person_62,Lname_62,NY,user_62@example.com,2023-02-05
CUST_0064,Person_63,Lname_63,,user_63@example.com,2023-01-24
CUST_0065,Person_64,Lname_64,CA,user_64@example.com,2023-12-05
CUST_0066,Person_65,Lname_65,FL,user_65@example.com,2023-04-27
CUST_0067,Person_66,Lname_66,TX,user_66@example.com,2023-05-29
CUST_0068,Person_67,Lname_67,FL,user_67@example.com,2023-02-10
CUST_0069,Person_68,Lname_68,TX,user_68@example.com,2023-04-30
CUST_0070,Person_69,Lname_69,,user_69@example.com,2023-02-21
CUST_0071,Person_70,Lname_70,,user_70@example.com,2023-07-14
CUST_0072,Person_71,Lname_71,,user_71@example.com,2023-05-23
CUST_0073,Person_72,Lname_72,TX,user_72@example.com,2023-08-21
CUST_0074,Person_73,Lname_73,FL,user_73@example.com,2023-11-22
CUST_0075,Person_74,Lname_74,,user_74@example.com,2023-07-06
CUST_0076,Person_75,Lname_75,WA,user_75@example.com,2023-03-25
CUST_0077,Person_76,Lname_76,TX,user_76@example.com,2023-07-09
CUST_0078,Person_77,Lname_77,TX,user_77@example.com,2023-07-01
CUST_0079,Person_78,Lname_78,FL,user_78@example.com,2023-04-18
CUST_0080,Person_79,Lname_79,TX,user_79@example.com,2023-12-10
CUST_0081,Person_80,Lname_80,TX,user_80@example.com,2023-05-17
CUST_0082,Person_81,Lname_81,,user_81@example.com,2023-12-26
CUST_0083,Person_82,Lname_82,FL,user_82@example.com,2023-12-16
CUST_0084,Person_83,Lname_83,,user_83@example.com,2023-11-28
CUST_0085,Person_84,Lname_84,,user_84@example.com,2023-02-06
CUST_0086,Person_85,Lname_85,FL,user_85@example.com,2023-11-08
CUST_0087,Person_86,Lname_86,CA,user_86@example.com,2023-11-22
CUST_0088,Person_87,Lname_87,,user_87@example.com,2023-03-29
CUST_0089,Person_88,Lname_88,WA,user_88@example.com,2023-10-01
CUST_0090,Person_89,Lname_89,WA,user_89@example.com,2023-05-06
CUST_0091,Person_90,Lname_90,TX,user_90@example.com,2023-03-25
CUST_0092,Person_91,Lname_91,WA,user_91@example.com,2023-08-25
CUST_0093,Person_92,Lname_92,TX,user_92@example.com,2023-07-14
CUST_0094,Person_93,Lname_93,CA,user_93@example.com,2023-05-19
CUST_0095,Person_94,Lname_94,FL,user_94@example.com,2023-11-24
CUST_0096,Person_95,Lname_95,FL,user_95@example.com,2023-12-19
CUST_0097,Person_96,Lname_96,FL,user_96@example.com,2023-10-13
CUST_0098,Person_97,Lname_97,WA,user_97@example.com,2023-04-23
CUST_0099,Person_98,Lname_98,CA,user_98@example.com,2023-12-17
CUST_0100,Person_99,Lname_99,WA,user_99@example.com,2023-06-16
